Designation,Semi-major axis (AU),Eccentricity,Inclination (deg),Mean Longitude (deg),Longitude of Perihelion (deg),Longitude of Ascending Node (deg),Radius (km),H (mag),PHA
2015 FU332,2.631019537513347,.7443031275109584,36.10031507781569,103.7164522,25.48756901876638,82.65102982653812,.472,17.3,N
2015 FE120,2.250777719641893,.5514118140656058,22.80104270861997,209.7618231,188.924882990012,21.52439847127598,N/A,21.1,Y
2015 FY117,2.018527970005731,.4347177561902404,24.32110669329578,177.7273927,348.4093067246095,188.3137705227054,.272,21.2,N
2015 DX198,1.641583317753681,.375955203663451,11.05532108866635,165.1809921,215.9353981693895,309.754072358997,.1745,22.1,N
2015 BY516,2.907869073107741,.662154666283549,13.45384045852759,185.0155258,249.3341458201446,296.2133418492315,.1745,22.3,N
2015 AK280,2.658389313431073,.7033861941926415,11.37178317333197,61.7548137,45.05937372283422,17.2634110290976,.179,21.8,Y
2015 AY245,1.127048293256519,.1095146771479252,13.59281152240987,156.3281749,13.00997473418735,143.6707020430638,.187,21.2,Y
2015 AC17,2.257935267312483,.4598009006772116,29.2550477217112,83.6148207,188.0306335443667,256.5975256504518,.493,19.9,N
2014 YR43,2.485875848233567,.611012434231515,26.45302495737083,31.8814089,268.8458722113407,123.170462098784,.185,19.5,N
2014 YS14,2.465375165729129,.6605664229942042,18.29179582947331,137.7694492,13.88442281919009,124.5613918865899,.1495,21.1,N
2014 XX31,2.81773584106676,.8719957098914951,35.79830137767302,278.1441462,344.4244982485843,290.8836395137682,.6745,17.5,N
2014 XX7,2.911146710517305,.5928715547562049,36.64424569556592,352.2618035,162.8380451850401,186.1786595669078,.599,19.7,N
2014 XQ7,2.637661877301954,.7507251913968693,31.01990722367141,152.5502321,13.27053974019433,141.1236491651805,.3255,20.6,N
2014 VP35,1.466027605376361,.3486681301355948,9.172680984788318,83.1822913,173.4253926272486,269.6735472871449,.061,23.3,N
2014 UH210,2.596946784969931,.6587906306476374,22.10433317376382,315.0632559,162.1459107471887,151.6800305071279,.202,21.1,N
2014 UF206,2.42597205864405,.5420364776720522,48.05479041946406,123.2598161,12.75633569053145,114.6547835744416,.6935,18.8,N
2014 UG176,2.798475134400174,.7203257031680474,16.42811073089798,102.6483218,15.2953611072156,87.94981628656437,.2105,21.5,N
2014 TJ64,2.620378122990594,.5981061735459947,14.91055088514126,18.3874458,235.1179424224736,144.1954783684593,.2595,21.2,N
2014 TF64,1.613211049996596,.418285135293955,52.67408764618292,344.6185697,114.2652942392541,217.9896849353368,.352,20.1,N
2014 TW57,2.17353756244267,.7372818189465395,6.748497371667629,133.421889,237.2559680613068,256.3474070783685,.2345,20.1,N
2014 SR339,1.299715730991607,.3038971369568631,29.79572146271672,82.02412510000001,299.6526581710076,138.7584716331469,.4855,18.6,Y
2014 RH12,2.181325971993863,.5366528780219564,7.228479779224227,345.9759925,145.1529860566147,200.6089165161205,.044,23.5,N
2014 QK433,2.98743883827039,.600042120724632,39.20950869779158,310.3686867,2.170055847628097,308.6869202381955,.892,18.2,N
2014 PP69,21.51200752328177,.941803607972199,93.62589033735222,342.8222815,311.6228155381947,338.751205186088,N/A,20,N
2014 PF68,2.860838975000644,.5854106143433525,22.56280503084481,355.1213371,14.09460516569484,342.0671501508573,1.665,18.2,N
2014 PC68,1.5194796518051,.2848908465732887,40.68119001633602,320.3480764,152.8173885160116,161.6263649576567,.281,20.4,N
2014 OZ1,2.851093132952918,.6015911469538144,21.33582124721351,251.842979,113.2349850870135,137.0974052922626,.366,21,N
2014 OY1,2.577802230582639,.6246647625208186,23.01730331974229,262.4937755,186.7144385331989,76.30957609699514,.299,19.1,Y
2014 NM64,2.843029706697674,.6268059551811739,28.78307385655198,310.3527067,8.337989589183689,303.0329400719025,.165,22.6,N
2014 NE64,2.106899643455566,.4311980528334781,41.61943466598792,269.2631479,294.0554124119658,328.4210286265892,N/A,18.8,N
2014 NC64,2.18306067063655,.6357211804067154,22.68234139116294,25.9983317,9.630400052951343,17.1003718249792,.2505,20.2,N
2014 NF3,1.29900700554903,.4936806419927618,13.52337054423039,189.1638016,195.2544419849815,354.313358750656,N/A,20.8,N
C/2014 N3,5803.176986483908,.9993310162842178,61.6382479533703,16.8604063,353.565396131855,19.92706462999456,N/A,N/A,n/a
2014 MQ18,2.897991480691914,.5993447879454835,35.07324188287444,324.5828959,332.9062594675841,347.3016113391167,2.636,15.6,N
2014 LQ25,2.023243988593961,.677924908629236,33.56982327030391,183.1241619,245.5053061027307,301.7947296437926,.469,20,N
P/2014 L2,6.325896244468109,.6467628123620112,5.184411891277072,332.1724459,182.7779497044684,149.4058430545082,N/A,N/A,n/a
2014 JN57,1.24317866582747,.1678077698255834,28.58593506287571,215.4951661,143.7235861015158,68.29583541410975,.1365,20.6,N
2014 JH57,3.346176964286787,.8715918034603996,26.55564878232882,65.1738343,10.77007098446474,55.51738597463495,2.3065,16.2,N
2014 JL25,2.894077293962123,.6558188594312312,15.7647830667875,242.5249686,172.1152883024908,70.11662352409184,.114,23,N
2014 HJ129,2.585556153532147,.5622950187448894,8.440256299170912,145.814971,264.4108342527311,241.464939447109,.2985,21.1,N
2014 HQ124,.8508148427540912,.2591551361740747,26.36931053597766,44.9809548,144.4927302228511,257.5695522576489,.1625,18.9,Y
2014 EQ49,1.147686871779258,.2066953758889036,15.16013422422478,60.8899427,50.37385775371818,11.51612681755003,.1895,21.8,Y
2014 EN45,2.439167006263834,.5673283560377396,14.02132166363705,166.800252,232.3020518061658,295.3398082846689,.186,21.2,N
2014 ED,1.546508759569549,.6380152733951265,21.76408659242056,70.3428598,355.0041440244821,74.98421837432433,.2465,19.3,N
2014 CF14,1.998565966909454,.5876836885763858,29.41194200298631,219.7583352,334.8633024476824,241.9900847696084,N/A,18.1,N
2014 CY4,2.651563447685261,.8192125180524528,15.01920023768562,56.6666151,289.2570496912387,126.7810487464592,.287,21.1,Y
C/2014 C3,108.4364686609545,.9828284207570523,151.784310122964,216.9080564,345.8767951690551,204.4069433022532,N/A,N/A,n/a
2014 BE63,2.103838410909972,.6435534649255827,8.572767321200866,181.5405902,359.5150601625874,182.0201122067781,.180,23.2,N
2014 BG60,3.029307263868486,.6131321039960378,8.609021142587174,179.0236229,243.7933422001744,295.4884017183885,.3375,20.1,N
2014 AA53,2.37394187158225,.6713511315825852,12.44440926671061,9.1313335,344.8464630583358,23.94467585796068,.349,19.8,N
2014 AQ46,2.414735289061992,.5323879997750743,24.59583033195723,74.1800035,322.8806041992,108.7140710694896,.2925,20.1,N
2013 YP139,2.400002771646241,.6814099535682413,.8172258218396455,15.7333201,82.70208003891861,293.0319744935455,.201,21.6,Y
2011 BN59,3.063590016080162,.6212381961930301,20.31139111499506,119.8199032,293.0537220163667,185.4114000184303,.497,20.4,N
2011 BY24,1.891033324630848,.4930445464763457,13.95618848421326,155.8960572,325.2297283672322,189.8663721488347,.0975,22.6,N
2010 YD3,2.578807981311008,.5691416407185497,24.61026798890769,108.8348054,219.174521277932,252.3029790788337,.3775,20,N
2010 YC1,1.414492071271224,.4131454682293041,17.66573816876749,31.1733548,358.3179262296663,32.77614956881864,.1135,21.3,N
2010 XY82,2.187523278770606,.489355692471713,26.77896999686494,73.0786538,297.3303337963885,133.0123231243233,.2265,19.1,N
2010 XP69,1.522990650389165,.3427722125044397,14.59538410271936,36.5911939,197.2316951223114,199.8841155759341,.1365,21.4,Y
2010 XZ67,2.061083982524716,.4941566569908382,11.83999280865125,89.61331439999999,169.0864975368172,280.3000294507083,.163,19.7,N
2010 WE9,1.554676311662922,.2497167538212075,42.11703760442849,76.4743636,132.4366820487915,295.5269607378006,.304,20,N
2010 UB8,2.977465958271742,.6265548502639272,30.95364976000896,42.0315999,323.9936461723543,73.96343396137044,.561,19.7,N
2010 UY6,2.650956642950815,.6165214537038909,19.87499469540077,28.2524827,20.34039917684842,9.032288545012479,.356,20.1,N
2010 TK7,.9999463126152928,.1906253279778886,20.88682914618198,140.4514964,45.88501911800083,96.51335303766569,.1895,20.8,N
2010 QA5,2.916400375890412,.6326579589248578,33.4346930794563,350.958076,176.1794785647624,174.1477905280468,.175,22.5,N
2010 QE2,3.369059582437085,.739233345635038,64.86456511169447,17.4116327,32.85480279604156,2.071922954394242,1.078,17.2,N
2010 PY75,2.663372601034414,.7746958523535385,31.28325020752823,50.5566802,135.7109000286399,270.3733721174785,.379,18.7,N
2010 PU66,1.4858452326944,.3900223458431409,18.09637358203482,257.8413688,267.4814916355579,350.4907549231164,.090,22.1,N
2010 PW58,.8885346692670432,.2118340395134749,14.23639025126151,96.34619669999999,130.961768218174,324.4979036423798,.1065,21.3,Y
2010 PP58,2.091854126254585,.5294648324982894,4.721743036309395,351.8189487,175.5285927243062,176.2752422132624,.064,22.1,N
2010 PM58,1.371388593990807,.4597620670012009,13.59851945221645,25.3880546,53.72921393424476,332.4391008119271,.1295,20.9,N
P/2010 P4,3.703805248906571,.4972785545906477,24.07970379988947,356.9122973,354.1720469482016,2.236146237150817,N/A,N/A,n/a
2010 OK126,1.955605941531931,.4470314837907889,52.53736998553224,312.0730115,320.9395684478679,338.3443857436913,.427,20.7,N
2010 OH126,1.889828132041774,.4981123033564103,14.32110384076038,272.6667546,174.9435382867153,97.5668624430042,.109,21.4,N
2010 ON101,1.629128599039019,.4090935909035341,9.308731512167236,259.5362347,7.99960060985869,251.6406428911686,.119,20.2,Y
2010 OL101,2.614530609726383,.5952475566459369,26.08061687342753,275.0577184,103.2439190768394,170.3741580790565,.0975,20.4,N
2010 OF101,.9509722584751688,.3251183971565534,23.37296121122481,136.0084098,282.5386137901491,212.3890526406276,.1515,19.6,N
2010 OD101,1.618055706014253,.3579354155050279,15.3914180243785,288.2742561,102.6332479584877,185.1869657859269,.099,20.7,N
2010 OC101,1.221274570156639,.2273906317096981,13.59861121784882,355.1668083,86.8021065123403,268.4567350759157,.074,20.7,N
2010 OL100,2.262896385421821,.6531865902115469,22.1577979219015,15.8802994,148.0985048399189,225.8441907105708,.154,19.6,N
2010 OE22,2.651618184952965,.6258205427004094,14.3498488107527,255.574694,79.61487687721707,176.2866399681101,.087,21.3,N
2010 NY65,1.000341222299745,.3699962175760544,11.62886260715322,159.213007,251.5347611121017,268.0382046545834,.114,21.4,Y
