full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
73P/Schwassmann-Wachmann 3-AT,3.001,0.6869,11.33,69.85,198.81,0.94,5.06,5.2,21.0,8.0,25,-1.0,0
73P/Schwassmann-Wachmann 3-AU,3.058,0.6928,11.38,69.91,198.76,0.939,5.18,5.35,30.0,8.0,12,-1.0,0
73P/Schwassmann-Wachmann 3-AV,3.062,0.6934,11.4,69.87,198.86,0.939,5.19,5.36,19.0,8.0,9,-1.0,0
73P/Schwassmann-Wachmann 3-AW,2.678,0.6482,10.98,69.48,199.09,0.942,4.41,4.38,7.0,9.0,29,-1.0,0
73P/Schwassmann-Wachmann 3-AX,3.05,0.6925,11.43,69.47,199.25,0.938,5.16,5.33,2.0,9.0,16,-1.0,0
73P/Schwassmann-Wachmann 3-AY,2.8,0.664,11.13,69.59,199.02,0.941,4.66,4.69,7.0,9.0,27,-1.0,0
73P/Schwassmann-Wachmann 3-AZ,2.647,0.6441,10.93,69.5,199.04,0.942,4.35,4.31,7.0,9.0,11,-1.0,0
73P/Schwassmann-Wachmann 3-BA,2.961,0.6824,11.27,69.92,198.69,0.94,4.98,5.09,7.0,9.0,14,-1.0,0
73P/Schwassmann-Wachmann 3-BB,2.968,0.6824,11.19,70.47,197.93,0.942,4.99,5.11,2.0,9.0,15,-1.0,0
73P/Schwassmann-Wachmann 3-BC,3.134,0.7005,11.46,69.96,198.75,0.939,5.33,5.55,11.0,8.0,63,-1.0,0
73P/Schwassmann-Wachmann 3-BD,2.979,0.6824,10.97,71.42,196.46,0.946,5.01,5.14,6.0,9.0,8,-1.0,0
73P/Schwassmann-Wachmann 3-BE,2.958,0.6824,11.32,69.69,199.0,0.939,4.98,5.09,5.0,9.0,16,-1.0,0
73P/Schwassmann-Wachmann 3-BF,2.989,0.6857,11.32,69.83,198.81,0.94,5.04,5.17,11.0,8.0,13,-1.0,0
73P/Schwassmann-Wachmann 3-BG,2.98,0.6848,11.32,69.72,198.95,0.939,5.02,5.14,7.0,9.0,11,-1.0,0
73P/Schwassmann-Wachmann 3-BH,2.959,0.6824,11.29,69.8,198.84,0.94,4.98,5.09,6.0,9.0,9,-1.0,0
73P/Schwassmann-Wachmann 3-BI,2.96,0.6825,11.3,69.75,198.91,0.94,4.98,5.09,7.0,9.0,23,-1.0,0
73P/Schwassmann-Wachmann 3-BJ,3.041,0.6911,11.37,69.88,198.8,0.939,5.14,5.3,8.0,9.0,13,-1.0,0
73P/Schwassmann-Wachmann 3-BK,3.045,0.6915,11.37,69.9,198.78,0.939,5.15,5.31,11.0,9.0,14,-1.0,0
73P/Schwassmann-Wachmann 3-BL,3.091,0.6962,11.41,69.97,198.7,0.939,5.24,5.44,6.0,9.0,9,-1.0,0
73P/Schwassmann-Wachmann 3-BM,2.959,0.6824,11.29,69.78,198.86,0.94,4.98,5.09,6.0,9.0,13,-1.0,0
73P/Schwassmann-Wachmann 3-BN,3.047,0.6918,11.38,69.88,198.79,0.939,5.15,5.32,6.0,9.0,31,-1.0,0
73P/Schwassmann-Wachmann 3-BO,3.048,0.6918,11.38,69.89,198.77,0.939,5.16,5.32,21.0,7.0,28,-1.0,0
73P/Schwassmann-Wachmann 3-BP,2.96,0.6825,11.29,69.81,198.85,0.94,4.98,5.09,8.0,9.0,32,-1.0,0
73P/Schwassmann-Wachmann 3-BQ,3.054,0.6925,11.39,69.87,198.82,0.939,5.17,5.34,7.0,9.0,25,-1.0,0
73P/Schwassmann-Wachmann 3-BR,2.984,0.6852,11.32,69.83,198.84,0.94,5.03,5.16,28.0,8.0,20,-1.0,0
73P/Schwassmann-Wachmann 3-BS,3.115,0.6986,11.44,69.94,198.77,0.939,5.29,5.5,12.0,9.0,12,-1.0,0
73P/Schwassmann-Wachmann 3-BT,3.092,0.6856,11.24,69.66,199.35,0.972,5.21,5.44,250.0,6.0,353,-1.0,0
73P/Schwassmann-Wachmann 3-BU,2.888,0.6677,11.05,70.74,199.85,0.96,4.82,4.91,7.0,9.0,15,-1.0,0
73P/Schwassmann-Wachmann 3-BV,3.134,0.6892,11.24,69.52,199.39,0.974,5.29,5.55,22.0,8.0,15,-1.0,0
73P/Schwassmann-Wachmann 3-BW,4.502,0.7778,11.61,67.33,198.68,1.001,8.0,9.55,4.0,9.0,12,-1.0,0
