full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
436761 (2012 DN),2.235,0.5932,19.95,143.25,247.34,0.909,3.56,3.34,4519.0,0.0,145,18.22,0
436763 (2012 FN52),1.979,0.6651,22.62,93.09,350.36,0.663,3.3,2.78,7996.0,0.0,133,18.06,0
436764 (2012 FB57),2.018,0.3973,5.18,121.48,40.62,1.217,2.82,2.87,4633.0,0.0,142,19.47,0
436771 (2012 JG11),0.962,0.4324,24.73,165.53,280.38,0.546,1.38,0.944,2604.0,0.0,176,19.03,0
436774 (2012 KY3),1.232,0.4864,21.39,21.51,87.25,0.633,1.83,1.37,4027.0,0.0,202,18.41,1
436775 (2012 LC1),2.01,0.7644,34.39,53.73,52.44,0.474,3.55,2.85,3037.0,0.0,1993,16.85,0
437316 (2013 OS3),1.829,0.4684,29.89,297.59,224.67,0.972,2.69,2.47,3684.0,0.0,1236,18.5,0
437841 (1998 HD14),0.9633,0.3126,7.81,183.76,260.91,0.662,1.26,0.945,7735.0,0.0,210,21.0,1
437844 (1999 MN),0.674,0.6654,2.03,81.42,9.18,0.226,1.12,0.553,7690.0,0.0,168,21.19,1
437846 (1999 RJ27),1.479,0.3527,25.78,170.27,64.41,0.957,2.0,1.8,8927.0,0.0,102,19.45,0
437879 (2001 RX11),2.763,0.5467,13.09,343.71,307.84,1.253,4.27,4.59,8427.0,0.0,493,17.76,0
437905 (2001 XU30),2.198,0.6637,8.93,72.0,107.12,0.739,3.66,3.26,4930.0,0.0,184,19.98,1
437908 (2001 XW266),2.284,0.4518,4.62,205.72,90.04,1.252,3.32,3.45,7631.0,0.0,257,19.5,0
437965 (2003 AL73),2.541,0.6946,9.65,217.33,336.4,0.776,4.31,4.05,4596.0,0.0,102,19.49,0
437994 (2003 UL12),3.28,0.7032,19.81,192.73,275.25,0.974,5.59,5.94,8809.0,0.0,495,17.48,0
438017 (2003 YO3),1.45,0.3663,24.61,291.36,168.77,0.919,1.98,1.75,7594.0,0.0,150,18.71,0
